True,Player,SalStartYr,FG,FTA,AST,TRB,PTS,BLK,years_of_exp,Pos,Salary,salary_before,Cluster
A.C. Green,0,1,4.7,5.6,1.4,9.3,13.6,0.4,7,2,1750000.0,1750000.0,0
A.C. Green,0,2,4.6,4.6,1.4,8.7,12.8,0.5,8,2,1885000.0,1750000.0,0
A.C. Green,0,3,5.7,4.4,1.7,9.2,14.7,0.5,9,2,6472600.0,1885000.0,0
A.C. Green,0,4,3.8,4.2,1.5,8.2,11.2,0.4,10,8,6473000.0,6472600.0,0
A.C. Green,0,5,2.6,2.9,0.9,6.8,7.5,0.3,11,8,4851000.0,6473000.0,0
A.C. Green,0,6,2.8,2.4,0.8,7.9,7.2,0.2,12,2,5095088.0,4851000.0,0
A.C. Green,0,7,3.0,2.0,1.5,8.1,7.3,0.3,13,2,5125088.0,5095088.0,0
A.C. Green,0,8,2.2,1.0,0.5,4.6,4.9,0.2,14,2,1700000.0,5125088.0,0
A.C. Green,0,9,2.1,1.2,1.0,5.9,5.0,0.2,15,2,2250000.0,1700000.0,0
A.J. English,1,1,4.5,2.2,1.8,2.1,10.9,0.1,2,12,406000.0,325000.0,0
Aaron Brooks,2,18,4.0,2.2,3.0,2.0,11.2,0.1,2,5,1118520.0,1045560.0,0
Aaron Brooks,2,19,7.0,3.6,5.3,2.6,19.6,0.2,3,5,2016692.0,1118520.0,0
Aaron Brooks,2,22,2.7,1.0,2.2,1.5,7.1,0.2,5,5,1027424.0,2016692.0,0
Aaron Brooks,2,23,3.2,1.3,3.2,1.9,9.0,0.2,6,5,915243.0,1027424.0,0
Aaron Brooks,2,24,4.2,2.1,3.2,2.0,11.6,0.2,7,5,2250000.0,915243.0,0
Aaron Brooks,2,25,2.7,0.9,2.6,1.5,7.1,0.1,8,5,2700000.0,2250000.0,0
Aaron Brooks,2,26,1.9,0.6,1.9,1.1,5.0,0.1,9,5,2116955.0,2700000.0,0
Aaron Gordon,3,25,3.5,2.5,1.6,6.5,9.2,0.7,2,2,4351320.0,4171680.0,0
Aaron Gordon,3,26,4.9,2.7,1.9,5.1,12.7,0.5,3,8,5504419.0,4351320.0,0
Aaron Gordon,3,27,6.5,3.9,2.3,7.9,17.6,0.8,4,2,21590909.0,5504419.0,2
Aaron Gordon,3,28,6.0,3.2,3.7,7.4,16.0,0.7,5,2,19863636.0,21590909.0,2
Aaron Gordon,3,29,5.4,3.6,3.7,7.7,14.4,0.6,6,2,18136364.0,19863636.0,2
Aaron Gray,4,18,1.4,1.1,0.8,3.9,3.5,0.3,2,0,1000497.0,711517.0,0
Aaron Gray,4,23,0.7,0.5,0.6,3.0,1.8,0.2,7,0,1227985.0,1000497.0,0
Aaron Harrison,5,26,0.0,0.4,0.6,0.6,0.2,0.0,2,12,174570.0,365289.0,0
Aaron Holiday,6,29,3.5,1.3,3.4,2.4,9.5,0.2,2,5,2345640.0,2239200.0,0
Aaron McKie,7,5,4.2,2.5,2.5,3.8,10.7,0.3,2,12,1040000.0,845000.0,0
Aaron McKie,7,6,1.8,1.3,1.9,2.7,5.2,0.3,3,12,1235000.0,1040000.0,0
Aaron McKie,7,7,1.7,0.7,2.2,2.9,4.1,0.2,4,15,1430000.0,1235000.0,0
Aaron McKie,7,8,1.9,1.2,2.0,2.8,4.8,0.1,5,12,1624000.0,1430000.0,0
Aaron McKie,7,9,3.0,1.8,2.9,3.0,8.0,0.2,6,12,1842480.0,1624000.0,0
Aaron McKie,7,10,4.4,2.6,5.0,4.1,11.6,0.1,7,12,4000000.0,1842480.0,0
Aaron McKie,7,11,4.6,2.5,3.7,4.0,12.2,0.3,8,12,4500000.0,4000000.0,0
Aaron McKie,7,12,3.6,1.7,3.5,4.4,9.0,0.1,9,8,5000000.0,4500000.0,0
Aaron McKie,7,13,3.5,1.5,2.6,3.4,9.2,0.3,10,8,5500000.0,5000000.0,0
Aaron McKie,7,14,0.9,0.2,1.5,2.5,2.2,0.3,11,12,8500000.0,5500000.0,1
Aaron McKie,7,15,0.2,0.1,0.8,1.4,0.5,0.0,12,5,8070874.0,8500000.0,1
Aaron Williams,8,6,2.6,1.5,0.5,4.3,6.2,0.9,3,3,500000.0,8070874.0,0
Aaron Williams,8,7,1.8,1.3,0.2,2.3,4.6,0.6,4,2,575000.0,500000.0,0
Aaron Williams,8,8,1.3,1.9,0.6,3.2,4.0,0.6,5,2,1100000.0,575000.0,0
Aaron Williams,8,9,2.9,2.5,0.7,5.0,7.6,1.1,6,2,2250000.0,1100000.0,0
Aaron Williams,8,10,3.6,3.8,1.1,7.2,10.2,1.4,7,2,2475000.0,2250000.0,0
Aaron Williams,8,11,2.8,2.3,0.9,4.1,7.2,0.9,8,2,2700000.0,2475000.0,0
Aaron Williams,8,12,2.5,1.6,1.1,4.1,6.2,0.7,9,0,2925000.0,2700000.0,0
Aaron Williams,8,13,2.4,2.2,1.1,4.1,6.3,0.6,10,0,3790257.0,2925000.0,0
Aaron Williams,8,16,0.8,0.6,0.2,2.2,2.0,0.4,13,2,1890000.0,3790257.0,0
Abdel Nader,9,28,1.5,0.6,0.3,1.9,4.0,0.2,2,8,1618520.0,1378242.0,0
Abdel Nader,9,29,2.2,1.2,0.7,1.8,6.3,0.4,3,8,1752950.0,1618520.0,0
Acie Earl,10,5,2.8,2.7,0.6,3.1,7.5,0.9,3,0,1235000.0,845000.0,0
Acie Earl,10,6,1.4,1.8,0.4,2.0,4.0,0.6,4,0,1430000.0,1235000.0,0
Acie Law,11,18,0.9,1.1,1.6,1.1,2.9,0.1,2,5,2216160.0,2071680.0,0
Acie Law,11,19,1.3,1.9,1.0,0.7,4.3,0.0,3,5,859087.0,2216160.0,0
Adam Keefe,12,5,2.2,2.5,0.8,5.5,6.1,0.5,4,2,1950000.0,1200000.0,0
Adam Keefe,12,6,1.3,1.7,0.5,3.5,3.8,0.2,5,0,2300000.0,1950000.0,0
Adam Keefe,12,8,1.3,2.0,0.6,3.2,4.0,0.3,7,2,3000000.0,2300000.0,0
Adam Keefe,12,9,0.9,0.6,0.5,2.2,2.2,0.2,8,0,3400000.0,3000000.0,0
Adam Morrison,13,18,1.5,0.4,0.8,1.5,4.0,0.1,2,8,5257229.0,3887880.0,0
Adonal Foyle,14,12,2.3,1.3,0.5,6.0,5.4,2.5,6,0,4400000.0,1701000.0,0
Adreian Payne,15,25,1.0,0.5,0.6,2.1,2.5,0.2,2,2,2022240.0,1938840.0,0
Adreian Payne,15,26,1.3,1.1,0.4,1.8,3.5,0.4,3,2,77250.0,2022240.0,0
Adrian Caldwell,16,6,0.9,1.1,0.3,3.7,2.2,0.2,5,2,292250.0,77250.0,0
Adrian Griffin,17,10,0.8,0.5,0.6,2.0,2.1,0.1,2,8,565850.0,508000.0,0
Adrian Griffin,17,11,3.1,0.8,1.8,3.9,7.2,0.2,3,12,637435.0,565850.0,0
Adrian Griffin,17,12,2.0,0.4,1.4,3.6,4.4,0.1,4,12,751179.0,637435.0,0
Adrian Griffin,17,13,0.3,0.2,0.5,1.0,0.6,0.1,5,12,870046.0,751179.0,0
Adrian Griffin,17,14,0.8,0.6,0.8,2.1,2.2,0.1,6,8,768718.0,870046.0,0
Adrian Griffin,17,15,1.9,1.0,1.7,4.4,4.6,0.2,7,12,1475000.0,768718.0,0
Adrian Griffin,17,16,1.1,0.4,1.1,2.0,2.5,0.1,8,8,1593000.0,1475000.0,0
Al Harrington,18,9,2.4,2.2,0.8,3.2,6.6,0.2,2,2,798500.0,745800.0,0
Al Harrington,18,10,3.1,2.0,1.7,4.9,7.5,0.2,3,2,1436982.0,798500.0,0
Al Harrington,18,11,5.2,3.3,1.2,6.3,13.1,0.5,4,2,5060000.0,1436982.0,0
Al Harrington,18,12,4.7,3.3,1.5,6.2,12.2,0.4,5,8,5692500.0,5060000.0,0
Al Harrington,18,13,5.3,3.2,1.7,6.4,13.3,0.3,6,2,6325000.0,5692500.0,0
Al Harrington,18,14,6.9,5.3,3.2,7.0,17.5,0.2,7,8,6957500.0,6325000.0,1
Al Harrington,18,15,7.3,4.6,3.1,6.9,18.6,0.2,8,2,7625000.0,6957500.0,1
Al Harrington,18,16,6.3,3.1,1.9,6.4,16.5,0.3,9,2,8425625.0,7625000.0,1
Al Harrington,18,17,5.0,2.3,1.6,5.4,13.6,0.2,10,0,9226250.0,8425625.0,1
Al Harrington,18,18,7.3,4.0,1.4,6.2,20.1,0.3,11,2,10026875.0,9226250.0,1
Al Harrington,18,19,6.2,4.4,1.5,5.6,17.7,0.4,12,2,5765000.0,10026875.0,0
Al Harrington,18,20,3.8,1.6,1.4,4.5,10.5,0.1,13,2,6226200.0,5765000.0,0
Al Harrington,18,21,5.4,2.8,1.4,6.1,14.2,0.2,14,2,6687400.0,6226200.0,1
Al Harrington,18,22,2.0,0.4,1.0,2.7,5.1,0.1,15,0,8548107.0,6687400.0,1
Al Harrington,18,23,2.4,1.0,0.8,2.4,6.6,0.0,16,2,7609800.0,8548107.0,1
Al Horford,19,18,4.7,3.1,2.4,9.3,11.5,1.4,2,0,4307640.0,4026720.0,0
Al Horford,19,19,5.8,3.3,2.3,9.9,14.2,1.1,3,0,5444857.0,4307640.0,0
Al Horford,19,20,6.7,2.4,3.5,9.3,15.3,1.0,4,0,12000000.0,5444857.0,1
Al Horford,19,21,5.2,2.7,2.2,7.0,12.4,1.3,5,0,12000000.0,12000000.0,1
Al Horford,19,22,7.8,2.8,3.2,10.2,17.4,1.1,6,0,12000000.0,12000000.0,1
Al Horford,19,23,8.2,2.9,2.6,8.4,18.6,1.5,7,0,12000000.0,12000000.0,1
Al Horford,19,24,6.8,1.9,3.2,7.2,15.2,1.3,8,0,12000000.0,12000000.0,1
Al Horford,19,25,6.5,1.6,3.2,7.3,15.2,1.5,9,0,26540100.0,12000000.0,2
Al Horford,19,26,5.6,2.0,5.0,6.8,14.0,1.3,10,0,27734405.0,26540100.0,2
Al Horford,19,27,5.1,1.7,4.7,7.4,12.9,1.1,11,0,28928710.0,27734405.0,2
Al Horford,19,28,5.7,1.4,4.2,6.7,13.6,1.3,12,0,28000000.0,28928710.0,2
Al Horford,19,29,4.8,1.2,4.0,6.8,11.9,0.9,13,0,27500000.0,28000000.0,2
Al Jefferson,20,15,3.2,2.3,0.5,5.1,7.9,0.8,2,2,1618320.0,1512840.0,0
Al Jefferson,20,16,6.6,4.3,1.3,11.0,16.0,1.5,3,0,2480885.0,1618320.0,0
Al Jefferson,20,17,8.8,4.8,1.4,11.1,21.0,1.5,4,0,11000000.0,2480885.0,1
Al Jefferson,20,18,9.7,5.0,1.6,11.0,23.1,1.7,5,0,12000000.0,11000000.0,1
Al Jefferson,20,19,7.4,3.5,1.8,9.3,17.1,1.3,6,0,13000000.0,12000000.0,1
Al Jefferson,20,21,8.5,2.9,2.2,9.6,19.2,1.7,8,0,15000000.0,13000000.0,1
Al Jefferson,20,22,7.8,2.8,2.1,9.2,17.8,1.1,9,0,13500000.0,15000000.0,1
Al Jefferson,20,23,9.6,3.8,2.1,10.8,21.8,1.1,10,0,13500000.0,13500000.0,1
Al Jefferson,20,24,7.5,2.5,1.7,8.4,16.6,1.3,11,0,13500000.0,13500000.0,1
Al Jefferson,20,26,3.6,1.3,0.9,4.2,8.1,0.2,13,0,9769821.0,13500000.0,1
Al Jefferson,20,27,3.1,1.0,0.8,4.0,7.0,0.6,14,0,4000000.0,9769821.0,0
Al Thornton,21,18,6.6,4.4,1.5,5.2,16.8,0.9,2,8,1900200.0,1776240.0,0
Al Thornton,21,19,4.3,2.8,1.2,3.9,10.7,0.5,3,8,2814196.0,1900200.0,0
Al-Farouq Aminu,22,21,2.3,1.7,1.0,4.7,6.0,0.5,2,8,2947800.0,2755560.0,0
Al-Farouq Aminu,22,22,3.0,1.8,1.4,7.7,7.3,0.7,3,8,3700000.0,2947800.0,0
Al-Farouq Aminu,22,23,2.9,1.7,1.4,6.2,7.2,0.5,4,8,981084.0,3700000.0,0
Al-Farouq Aminu,22,24,2.0,1.6,0.8,4.6,5.6,0.8,5,8,8042895.0,981084.0,1
Al-Farouq Aminu,22,25,3.6,1.9,1.7,6.1,10.2,0.6,6,8,7680965.0,8042895.0,1
Al-Farouq Aminu,22,26,3.0,2.2,1.6,7.4,8.7,0.7,7,2,7319035.0,7680965.0,1
Al-Farouq Aminu,22,27,3.3,1.2,1.2,7.6,9.3,0.6,8,2,6957105.0,7319035.0,1
Al-Farouq Aminu,22,28,3.2,2.1,1.3,7.5,9.4,0.4,9,2,9258000.0,6957105.0,1
Al-Farouq Aminu,22,29,1.4,1.6,1.2,4.8,4.3,0.4,10,2,9720900.0,9258000.0,1
Alaa Abdelnaby,23,2,3.3,1.5,0.4,4.5,7.7,0.3,3,2,805000.0,9720900.0,0
Alan Anderson,24,21,3.2,2.0,1.5,2.0,9.6,0.2,3,8,885120.0,102131.0,0
Alan Anderson,24,22,3.6,2.3,1.6,2.3,10.7,0.1,4,8,947907.0,885120.0,0
Alan Anderson,24,23,2.5,1.5,1.0,2.2,7.2,0.1,5,8,1276061.0,947907.0,0
Alan Anderson,24,24,2.6,1.4,1.1,2.8,7.4,0.1,6,12,4000000.0,1276061.0,0
Alan Anderson,24,25,1.6,1.2,1.1,2.1,5.0,0.1,7,12,1315448.0,4000000.0,0
Alan Henderson,25,7,5.3,5.6,1.1,6.4,14.3,0.5,3,2,4725000.0,910000.0,0
Alan Henderson,25,8,4.9,3.9,0.7,6.6,12.5,0.5,4,8,5318437.0,4725000.0,0
Alan Henderson,25,9,5.2,4.1,0.9,7.0,13.2,0.7,5,2,5920000.0,5318437.0,0
Alan Henderson,25,10,4.1,3.7,0.7,5.6,10.5,0.4,6,2,6500312.0,5920000.0,0
Alan Henderson,25,11,2.3,1.7,0.4,3.7,5.5,0.6,7,2,7091250.0,6500312.0,1
Alan Henderson,25,12,1.9,1.7,0.5,4.9,4.8,0.4,8,0,7682188.0,7091250.0,1
Alan Henderson,25,14,1.5,1.0,0.3,4.5,3.5,0.5,10,2,1138500.0,7682188.0,0
Alan Williams,26,26,2.9,2.4,0.5,6.2,7.4,0.7,2,0,6000000.0,202000.0,0
Alando Tucker,27,18,1.7,1.1,0.4,1.0,4.6,0.0,2,12,1071720.0,1001880.0,0
Alec Burks,28,22,2.5,2.0,1.4,2.3,7.0,0.2,2,12,2323200.0,2171640.0,0
Alec Burks,28,23,4.9,4.8,2.7,3.3,14.0,0.2,3,12,3201369.0,2323200.0,0
Alec Burks,28,24,4.5,4.8,3.0,4.2,13.9,0.2,4,12,9213484.0,3201369.0,1
Alec Burks,28,25,4.4,4.5,2.0,3.5,13.3,0.1,5,12,9904495.0,9213484.0,1
Alec Burks,28,26,2.4,1.9,0.7,2.9,6.7,0.1,6,12,10845506.0,9904495.0,1
Alec Burks,28,27,2.7,1.9,1.0,3.0,7.7,0.1,7,12,11536515.0,10845506.0,1
Alec Burks,28,28,3.0,2.2,2.0,3.7,8.8,0.3,8,12,2320044.0,11536515.0,0
Alec Burks,28,29,4.9,4.0,2.9,4.3,15.0,0.3,9,11,6000000.0,2320044.0,0
Alec Kessler,29,2,1.4,1.2,0.4,2.3,3.9,0.3,3,2,922000.0,1122000.0,0
Alec Kessler,29,3,0.7,0.5,0.1,0.7,2.2,0.1,4,2,1402000.0,922000.0,0
Alex Caruso,30,28,3.1,2.6,3.1,2.7,9.2,0.4,2,5,2750000.0,77250.0,0
Alex Caruso,30,29,1.9,1.5,1.9,1.9,5.5,0.3,3,5,2750000.0,2750000.0,0
Alex English,31,0,4.1,1.8,1.3,3.2,9.7,0.3,15,8,500000.0,2750000.0,0
Alex Len,32,24,2.6,1.5,0.5,6.6,6.3,1.5,2,0,3807120.0,500000.0,0
Alex Len,32,25,3.4,3.1,1.2,7.6,9.0,0.8,3,0,4823621.0,3807120.0,0
Alex Len,32,26,3.0,2.7,0.6,6.6,8.0,1.3,4,0,4187599.0,4823621.0,0
Alex Len,32,27,3.1,3.3,1.2,7.5,8.5,0.9,5,0,4350000.0,4187599.0,0
Alex Len,32,28,4.2,2.8,1.1,5.5,11.1,0.9,6,0,4160000.0,4350000.0,0
Alex Len,32,29,3.2,1.9,0.9,5.8,8.0,0.9,7,0,2258000.0,4160000.0,0
Alexey Shved,33,23,1.2,1.4,1.1,1.3,4.0,0.3,2,12,3198723.0,3066667.0,0
Alfonzo McKinnie,34,28,1.9,0.7,0.4,3.4,4.7,0.2,2,8,2391985.0,1349383.0,0
Alfonzo McKinnie,34,29,1.8,0.8,0.4,2.8,4.6,0.2,3,8,1762796.0,2391985.0,0
Allan Houston,35,4,5.2,2.3,2.2,2.2,14.5,0.2,2,12,1177000.0,956000.0,0
Allan Houston,35,5,6.9,4.4,3.0,3.7,19.7,0.2,3,12,5000000.0,1177000.0,0
Allan Houston,35,6,5.4,2.7,2.2,3.0,14.8,0.2,4,12,6000000.0,5000000.0,0
Allan Houston,35,7,7.0,4.1,2.6,3.3,18.4,0.3,5,12,7000000.0,6000000.0,1
Allan Houston,35,8,5.9,3.9,2.7,3.0,16.3,0.2,6,12,8000000.0,7000000.0,1
Allan Houston,35,9,7.5,4.1,2.7,3.3,19.7,0.2,7,12,9000000.0,8000000.0,1
Allan Houston,35,10,6.9,3.9,2.2,3.6,18.7,0.1,8,12,12750000.0,9000000.0,1
Allan Houston,35,11,7.4,4.4,2.5,3.3,20.4,0.1,9,12,14343750.0,12750000.0,1
Allan Houston,35,12,8.0,4.8,2.7,2.8,22.5,0.1,10,12,15937500.0,14343750.0,1
Allan Houston,35,13,6.8,3.4,2.0,2.4,18.5,0.0,11,12,17531250.0,15937500.0,2
Allan Houston,35,14,4.3,2.2,2.1,1.2,11.9,0.1,12,12,19125000.0,17531250.0,2
Allen Crabbe,36,24,1.2,0.3,0.8,1.4,3.3,0.3,2,12,947276.0,862000.0,0
Allen Crabbe,36,25,3.8,1.4,1.2,2.7,10.3,0.2,3,12,18500000.0,947276.0,2
Allen Crabbe,36,26,3.8,1.6,1.2,2.9,10.7,0.3,4,12,18500000.0,18500000.0,2
Allen Crabbe,36,27,4.5,1.8,1.6,4.3,13.2,0.5,5,12,19332500.0,18500000.0,2
Allen Iverson,37,7,8.1,6.7,6.2,3.7,22.0,0.3,2,5,3537000.0,3128640.0,0
Allen Iverson,37,8,9.1,9.9,4.6,4.9,26.8,0.1,3,12,9000000.0,3537000.0,1
Allen Iverson,37,9,10.4,8.9,4.7,3.8,28.4,0.1,4,12,10130000.0,9000000.0,1
Allen Iverson,37,10,10.7,10.1,4.6,3.8,31.1,0.3,5,12,11250000.0,10130000.0,1
Allen Iverson,37,11,11.1,9.8,5.5,4.5,31.4,0.2,6,12,12375000.0,11250000.0,1
Allen Iverson,37,12,9.8,9.0,5.5,4.2,27.6,0.2,7,12,13500000.0,12375000.0,1
Allen Iverson,37,13,9.1,9.5,6.8,3.7,26.4,0.1,8,12,14625000.0,13500000.0,1
Allen Iverson,37,14,10.3,10.5,7.9,4.0,30.7,0.1,9,5,16453125.0,14625000.0,1
Allen Iverson,37,15,11.3,11.5,7.4,3.2,33.0,0.1,10,5,17184375.0,16453125.0,2
Allen Iverson,37,16,8.9,9.4,7.2,3.0,26.3,0.2,11,14,19012500.0,17184375.0,2
Allen Iverson,37,17,8.7,9.7,7.1,3.0,26.4,0.1,12,12,20840625.0,19012500.0,2
Allen Iverson,37,18,6.1,6.1,5.0,3.0,17.5,0.1,13,7,1191180.0,20840625.0,0
Alonzo Gee,38,20,2.2,1.6,0.7,3.3,5.9,0.3,2,12,854389.0,681492.0,0
Alonzo Gee,38,21,3.6,3.4,1.8,5.1,10.6,0.3,3,12,3500000.0,854389.0,0
Alonzo Gee,38,22,3.7,2.5,1.6,3.9,10.3,0.4,4,8,3250000.0,3500000.0,0
Alonzo Gee,38,23,1.5,0.9,0.7,2.3,4.0,0.2,5,8,1063384.0,3250000.0,0
Alonzo Gee,38,24,1.6,1.4,0.5,1.7,4.5,0.1,6,8,1320000.0,1063384.0,0
Alonzo Gee,38,25,1.8,0.9,1.0,3.4,4.5,0.2,7,8,2255408.0,1320000.0,0
Alonzo Mourning,39,3,7.1,9.5,1.4,10.2,21.5,3.1,2,0,3840000.0,3120000.0,0
Alonzo Mourning,39,4,7.4,8.4,1.4,9.9,21.3,2.9,3,0,4560000.0,3840000.0,0
Alonzo Mourning,39,5,8.0,10.2,2.3,10.4,23.2,2.7,4,0,9380000.0,4560000.0,1
Alonzo Mourning,39,6,7.2,8.6,1.6,9.9,19.8,2.9,5,0,11254800.0,9380000.0,1
Alonzo Mourning,39,8,7.0,9.2,1.6,11.0,20.1,3.9,7,0,15004800.0,11254800.0,1
Alonzo Mourning,39,9,8.3,7.4,1.6,9.5,21.7,3.7,8,0,19285715.0,15004800.0,2
Alonzo Mourning,39,10,5.6,4.2,0.9,7.8,13.6,2.4,9,0,18754800.0,19285715.0,2
Alonzo Mourning,39,11,6.0,5.7,1.2,8.4,15.7,2.5,10,0,20629800.0,18754800.0,2
Alonzo Mourning,39,15,2.9,3.4,0.2,5.5,7.8,2.7,13,0,6725433.0,20629800.0,1
Alton Lister,40,0,2.4,2.6,1.2,6.3,6.4,1.2,10,0,1333000.0,6725433.0,0
Alton Lister,40,4,1.1,1.2,0.2,3.9,2.8,1.0,13,0,300000.0,1333000.0,0
Alvin Robertson,41,0,5.4,3.2,5.5,5.7,13.6,0.2,7,12,1033000.0,300000.0,0
Alvin Robertson,41,1,4.8,2.4,4.4,4.3,12.3,0.4,8,12,1283000.0,1033000.0,0
Alvin Robertson,41,2,3.6,1.9,3.8,3.9,9.0,0.3,9,12,1408000.0,1283000.0,0
Alvin Williams,42,8,1.9,1.0,2.6,1.6,5.0,0.2,2,5,1925000.0,1408000.0,0
Alvin Williams,42,9,2.1,1.2,2.3,1.5,5.3,0.2,3,5,2100000.0,1925000.0,0
Alvin Williams,42,10,4.0,1.8,5.0,2.6,9.8,0.3,4,12,5350000.0,2100000.0,0
Alvin Williams,42,11,4.9,1.7,5.7,3.4,11.8,0.3,5,5,5350000.0,5350000.0,0
Alvin Williams,42,12,5.1,3.1,5.3,3.1,13.2,0.3,6,5,5500000.0,5350000.0,0
Alvin Williams,42,13,3.6,1.5,4.0,2.7,8.8,0.2,7,12,5850000.0,5500000.0,0
Alvin Williams,42,15,0.0,2.0,0.0,3.0,1.0,0.0,8,5,4587508.0,5850000.0,0
Alvin Williams,42,16,0.0,2.0,1.5,0.5,1.0,0.0,9,5,4516484.0,4587508.0,0
Amal McCaskill,43,13,0.8,0.5,0.3,2.3,1.9,0.3,4,0,932546.0,20700.0,0
Amir Johnson,44,16,2.3,1.8,0.4,4.6,5.9,1.6,2,2,3666666.0,664209.0,0
Amir Johnson,44,19,2.5,1.8,0.6,4.8,6.2,0.8,5,2,5000000.0,3666666.0,0
Amir Johnson,44,20,3.9,2.2,1.1,6.4,9.6,1.2,6,2,5500000.0,5000000.0,0
Amir Johnson,44,21,3.1,1.3,1.2,6.4,7.1,1.1,7,2,6000000.0,5500000.0,0
Amir Johnson,44,22,4.1,2.3,1.5,7.5,10.0,1.4,8,2,6500000.0,6000000.0,0
Amir Johnson,44,23,4.5,1.9,1.5,6.6,10.4,1.1,9,2,7000000.0,6500000.0,1
Amir Johnson,44,24,4.0,1.7,1.6,6.1,9.3,0.8,10,2,12000000.0,7000000.0,1
Amir Johnson,44,25,3.2,1.5,1.7,6.4,7.3,1.1,11,2,12000000.0,12000000.0,1
Amir Johnson,44,26,2.7,1.3,1.8,4.6,6.5,0.8,12,2,11000000.0,12000000.0,1
Amir Johnson,44,27,1.9,1.1,1.6,4.5,4.6,0.6,13,0,2393887.0,11000000.0,0
Andray Blatche,45,16,1.5,0.9,0.7,3.4,3.7,0.6,2,2,2470000.0,664209.0,0
Andray Blatche,45,17,3.1,1.9,1.1,5.2,7.5,1.4,3,2,2739669.0,2470000.0,0
Andray Blatche,45,18,4.2,2.3,1.7,5.3,10.0,1.0,4,0,3000000.0,2739669.0,0
Andray Blatche,45,19,5.9,2.9,2.1,6.3,14.1,0.9,5,2,5900000.0,3000000.0,0
Andray Blatche,45,20,6.7,4.4,2.3,8.2,16.8,0.8,6,2,6442083.0,5900000.0,0
Andray Blatche,45,21,3.6,1.9,1.1,5.8,8.5,0.7,7,2,7972891.0,6442083.0,1
Andray Blatche,45,22,4.2,2.6,1.0,5.1,10.3,0.7,8,0,9170525.0,7972891.0,1
Andre Barrett,46,15,2.0,0.6,2.7,1.3,4.6,0.0,2,5,744551.0,9170525.0,0
Andre Drummond,47,23,5.9,4.0,0.4,13.2,13.5,1.6,2,0,2568360.0,2462400.0,0
Andre Drummond,47,24,6.0,4.5,0.7,13.5,13.8,1.9,3,0,3272090.0,2568360.0,0
Andre Drummond,47,25,6.8,7.2,0.8,14.8,16.2,1.4,4,0,22116750.0,3272090.0,2
Andre Drummond,47,26,6.0,4.4,1.1,13.8,13.6,1.1,5,0,23775506.0,22116750.0,2
Andre Drummond,47,27,6.0,5.1,3.0,16.0,15.0,1.6,6,0,25434262.0,23775506.0,2
Andre Drummond,47,28,7.1,5.2,1.4,15.6,17.3,1.7,7,0,27093018.0,25434262.0,2
Andre Drummond,47,29,7.3,5.2,2.7,15.2,17.7,1.6,8,0,28751774.0,27093018.0,2
Andre Iguodala,48,15,4.2,4.3,3.1,5.9,12.3,0.3,2,8,2201640.0,2058000.0,0
Andre Iguodala,48,16,5.8,7.3,5.7,5.7,18.2,0.4,3,12,2804889.0,2201640.0,0
Andre Iguodala,48,17,7.1,6.2,4.8,5.4,19.9,0.6,4,8,11300000.0,2804889.0,1
Andre Iguodala,48,18,6.6,6.4,5.3,5.7,18.8,0.4,5,8,12200000.0,11300000.0,1
Andre Iguodala,48,19,6.0,5.2,5.8,6.5,17.1,0.7,6,8,12345250.0,12200000.0,1
Andre Iguodala,48,20,5.0,4.5,6.3,5.8,14.1,0.6,7,8,13531750.0,12345250.0,1
Andre Iguodala,48,21,4.6,3.2,5.5,6.1,12.4,0.5,8,8,14718250.0,13531750.0,1
Andre Iguodala,48,22,5.0,3.4,5.4,5.3,13.0,0.7,9,12,12868632.0,14718250.0,1
Andre Iguodala,48,23,3.5,2.1,4.2,4.7,9.3,0.3,10,8,12289544.0,12868632.0,1
Andre Iguodala,48,24,3.0,1.5,3.0,3.3,7.8,0.3,11,8,11710456.0,12289544.0,1
Andre Iguodala,48,25,2.7,1.3,3.4,4.0,7.0,0.3,12,8,11131368.0,11710456.0,1
Andre Iguodala,48,26,2.9,1.3,3.4,4.0,7.6,0.5,13,8,14814815.0,11131368.0,1
Andre Iguodala,48,27,2.3,1.4,3.3,3.8,6.0,0.6,14,8,16000000.0,14814815.0,1
Andre Iguodala,48,28,2.2,1.0,3.2,3.7,5.7,0.8,15,8,17185185.0,16000000.0,2
Andre Iguodala,48,29,1.8,0.7,2.4,3.7,4.6,1.0,16,8,15000000.0,17185185.0,1
Andre Miller,49,10,5.5,5.5,8.0,4.4,15.8,0.3,2,5,1934520.0,1818000.0,0
Andre Miller,49,11,5.9,5.5,10.9,4.7,16.5,0.4,3,5,2460709.0,1934520.0,0
Andre Miller,49,12,4.7,4.9,6.7,4.0,13.6,0.1,4,5,8000000.0,2460709.0,1
Andre Miller,49,13,5.2,5.0,6.1,4.5,14.8,0.3,5,5,7366667.0,8000000.0,1
Andre Miller,49,14,5.2,3.7,6.9,4.1,13.6,0.1,6,5,8100000.0,7366667.0,1
Andre Miller,49,15,4.9,5.2,8.2,4.3,13.7,0.2,7,5,8733333.0,8100000.0,1
Andre Miller,49,16,5.3,3.5,7.8,4.4,13.4,0.1,8,5,9366666.0,8733333.0,1
Andre Miller,49,17,6.9,4.1,6.9,4.0,17.0,0.1,9,5,10333334.0,9366666.0,1
Andre Miller,49,18,6.0,5.0,6.5,4.5,16.3,0.2,10,5,6730800.0,10333334.0,1
