,SalStartYr,Salary,Pos,Tm,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary_cap,Per_of_Salary_Cap
31,2001,2475000.0,SG,MIN,33,23.2,3.2,7.6,0.422,0.9,2.5,0.376,2.3,5.1,0.445,0.485,1.9,2.2,0.842,0.4,1.6,2.1,3.4,0.7,0.1,1.4,2.3,9.3,42500000,0.05823529411764706
32,2001,5400000.0,PG,GSW,59,34.1,4.6,11.6,0.396,1.1,3.3,0.324,3.5,8.3,0.424,0.441,0.8,1.1,0.697,1.0,2.9,3.9,6.7,2.4,0.3,1.9,1.9,11.0,42500000,0.12705882352941175
33,2001,1609235.0,PF,TOT,6,19.2,1.9,4.3,0.442,0.0,0.1,0.25,1.9,4.2,0.448,0.446,0.8,1.2,0.614,2.7,3.2,5.9,0.9,0.6,0.3,1.1,2.4,4.6,42500000,0.037864352941176474
38,2001,1179720.0,SF,ATL,0,8.5,1.2,2.6,0.465,0.0,0.1,0.2,1.2,2.5,0.477,0.469,0.8,0.9,0.825,0.7,1.1,1.8,0.1,0.2,0.5,0.3,1.0,3.2,42500000,0.027758117647058822
39,2001,715850.0,SF,MIA,72,32.7,2.6,7.1,0.363,1.3,3.7,0.336,1.3,3.3,0.394,0.452,1.2,2.0,0.609,0.5,2.4,3.0,1.6,1.0,0.6,0.9,3.3,7.6,42500000,0.016843529411764705
40,2001,630850.0,SF,DEN,0,12.2,1.4,2.5,0.556,0.1,0.2,0.364,1.3,2.3,0.571,0.569,0.5,0.8,0.614,1.1,0.9,2.0,0.5,0.6,0.2,0.4,1.7,3.4,42500000,0.014843529411764705
42,2001,650000.0,PG,LAC,0,14.9,2.5,6.3,0.397,0.1,0.8,0.125,2.4,5.5,0.436,0.405,1.4,1.7,0.824,0.4,0.7,1.1,3.2,0.5,0.0,0.9,0.9,6.5,42500000,0.015294117647058824
43,2001,4500000.0,C,DAL,35,24.4,2.7,5.5,0.49,0.0,0.1,0.167,2.7,5.4,0.494,0.491,1.7,2.2,0.787,2.0,5.5,7.4,0.5,0.4,2.8,1.1,3.1,7.1,42500000,0.10588235294117647
44,2001,3882360.0,PF,CHI,74,39.3,7.8,16.4,0.476,0.0,0.0,0.0,7.8,16.4,0.477,0.476,4.5,6.4,0.708,3.9,6.2,10.1,3.2,1.0,1.6,3.0,3.3,20.1,42500000,0.09134964705882354
45,2001,9300000.0,PG,MIN,78,36.2,6.6,14.5,0.451,0.4,1.2,0.363,6.1,13.4,0.458,0.465,2.5,2.9,0.871,0.8,3.1,3.8,7.5,2.1,0.3,2.0,1.8,16.0,42500000,0.2188235294117647
49,2001,2475000.0,PG,BOS,35,22.9,1.9,4.4,0.422,0.0,0.1,0.0,1.9,4.3,0.427,0.422,0.4,0.7,0.575,0.4,1.4,1.8,2.9,1.1,0.2,1.0,2.4,4.1,42500000,0.05823529411764706
50,2001,590850.0,PG,TOT,0,9.5,0.8,2.5,0.333,0.1,0.6,0.143,0.7,1.8,0.4,0.352,0.4,0.7,0.533,0.2,0.7,1.0,1.4,0.4,0.0,0.8,1.0,2.1,42500000,0.01390235294117647
51,2001,11250000.0,SG,LAL,68,40.9,10.3,22.2,0.464,0.9,2.9,0.305,9.4,19.3,0.489,0.484,7.0,8.2,0.853,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5,42500000,0.2647058823529412
53,2001,1200000.0,SG,DAL,9,22.2,2.3,5.2,0.438,0.1,0.2,0.286,2.2,5.0,0.443,0.443,1.6,2.2,0.728,1.6,2.6,4.2,1.3,0.9,0.2,0.7,3.2,6.2,42500000,0.02823529411764706
